frame,addr,value,pc,trace_last,trace_seq,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,screen_ready,ram_script,ram_subscript,ppu_load_index,d0,d1,d2,d3,a0,a1,a2,a7,sr
12,FF0302,00,0009C4,0201,0003,00,00,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00000074,000205D8,00FFE000,00000000,00FFFDBA,2608
12,FF0301,00,0174BC,0442,0006,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
12,FF0302,FF,0174C4,0442,0006,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
13,FF0302,FF,0009C4,0201,0015,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205D8,00FFE000,00000000,00FFFDBA,2608
13,FF0301,00,0174BC,0442,0018,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2604
13,FF0302,FF,0174C4,0442,0018,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2618
43,FF0302,FF,0009C4,0201,0032,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205D8,00FFE000,00000000,00FFFDBA,2608
43,FF0301,00,0174BC,0442,0035,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
43,FF0302,FF,0174C4,0442,0035,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
44,FF0302,FF,0009C4,0201,0046,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205D8,00FFE000,00000000,00FFFDBA,2608
44,FF0301,00,0174BC,0442,0049,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2604
44,FF0302,FF,0174C4,0442,0049,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2618
53,FF0302,FF,0009C4,0201,0060,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205D8,00FFE000,00000000,00FFFDBA,2608
53,FF0301,00,0174BC,0442,0063,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
53,FF0302,FF,0174C4,0442,0063,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
53,FF0301,00,008786,0318,0072,00,FF,00,00,00,00,00,00,00,00,00,00000004,00000023,00000000,00FF0034,00008776,000080DE,00000000,00FFFDAE,2600
53,FF0304,00,00879A,0318,0072,23,FF,00,00,36,0F,00,00,00,00,00,00000020,00000002,00000000,00FF0034,00FF0302,000080DE,00000000,00FFFDAE,2600
53,FF0303,00,00879A,0318,0072,23,FF,00,20,36,0F,00,00,00,00,00,00000000,00000001,00000000,00FF0034,00FF0302,000080DE,00000000,00FFFDAE,2604
53,FF0302,FF,00879A,0318,0072,23,FF,00,20,36,0F,00,00,00,00,00,0000003F,00000000,00000000,00FF0034,00FF0302,000080DE,00000000,00FFFDAE,2600
79,FF0301,23,0174BC,0403,01AF,23,3F,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003684,00FF0325,00000325,00000000,00FFFDB2,2604
79,FF0302,3F,0174C4,0403,01AF,00,3F,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003684,00FF0325,00000325,00000000,00FFFDB2,2618
79,FF0302,FF,0009C4,0201,01BE,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000000,0000005C,0000360C,00FF005D,00FF0007,00000000,00FFFDBA,2608
80,FF0301,00,0174BC,0442,01C1,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003688,00FF0302,00000302,00000000,00FFFDB2,2604
80,FF0302,FF,0174C4,0442,01C1,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003688,00FF0302,00000302,00000000,00FFFDB2,2618
110,FF0302,FF,0009C4,0201,01DB,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000000,0000005C,0000360C,00FF005D,00FF0007,00000000,00FFFDBA,2608
110,FF0301,00,0174BC,0442,01DE,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
110,FF0302,FF,0174C4,0442,01DE,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
115,FF0302,FF,0009C4,0201,01EF,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000000,0000005C,0000360C,00FF005D,00FF0007,00000000,00FFFDBA,2608
115,FF0301,00,0174BC,0442,01F2,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
115,FF0302,FF,0174C4,0442,01F2,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
115,FF0302,FF,000F24,0203,0205,00,FF,00,20,36,0F,00,00,00,00,00,00000001,00000000,000000FF,0000360C,00FF0000,00FF0007,00000000,00FFFE00,2018
116,FF0302,FF,0009C4,0201,0208,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000004,000000A0,00002060,00FF0200,00FF0007,00000000,00FFFD86,2608
116,FF0301,00,0174BC,0442,020B,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFD7E,2604
116,FF0302,FF,0174C4,0442,020B,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFD7E,2618
125,FF0302,FF,0009C4,0201,022C,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000004,000000A0,00002060,00FF0200,00FF0007,00000000,00FFFD86,2608
125,FF0301,00,0174BC,0442,022F,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFD7E,2604
125,FF0302,FF,0174C4,0442,022F,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFD7E,2618
125,FF0301,00,008786,0318,0248,00,FF,00,20,36,0F,00,00,00,00,00,00000004,00000423,00000401,00FF0034,00008776,000080DE,00000000,00FFFD7A,2600
126,FF0301,23,0174BC,0442,024F,23,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDAA,2604
126,FF0302,FF,0174C4,0442,024F,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDAA,2618
127,FF0302,FF,0009C4,0201,0263,00,FF,00,20,36,0F,00,01,00,00,10,00000201,00000003,00000010,000003F9,00FF0200,00FF0007,00000000,00FFFDB6,2608
139,FF0301,00,0174BC,0441,02E8,00,FF,00,20,36,0F,00,01,00,00,00,0000043F,00000000,000000FF,00007546,00017368,00018859,00000000,00FFFDAE,2604
139,FF0302,FF,0174C4,0441,02E8,00,FF,00,20,36,0F,00,01,00,00,00,0000043F,000000FF,000000FF,00007546,00017368,00018859,00000000,00FFFDAE,2618
139,FF0302,FF,0009C4,0201,0302,00,FF,00,20,36,0F,20,01,00,00,00,00000201,00000003,00000010,000003F9,00FF0200,00FF0007,00000000,00FFFDB6,2608
139,FF0301,00,0174BC,0442,0305,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDAE,2604
139,FF0302,FF,0174C4,0442,0305,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDAE,2618
144,FF0302,FF,0009C4,0201,031B,00,FF,00,20,36,0F,20,01,00,00,00,00000201,00000003,00000010,000003F9,00FF0200,00FF0007,00000000,00FFFDB6,2608
144,FF0301,00,0174BC,0442,031E,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDAE,2604
144,FF0302,FF,0174C4,0442,031E,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDAE,2618
145,FF0302,FF,0009C4,0201,0337,00,FF,00,20,36,0F,20,01,00,00,00,00000201,00000003,00000010,000003F9,00FF0200,00FF0007,00000000,00FFFDB6,2608
145,FF0301,00,0174BC,0442,033A,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,00000000,00000000,00003604,00FF0302,00000302,00000000,00FFFDAE,2604
145,FF0302,FF,0174C4,0442,033A,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,000000FF,00000000,00003604,00FF0302,00000302,00000000,00FFFDAE,2618
146,FF0302,FF,0009C4,0201,0350,00,FF,00,20,36,0F,20,01,00,00,00,00000201,00000002,0000007B,00000398,00FF0200,00FF0007,00000000,00FFFD92,2608
146,FF0301,00,0174BC,0442,0353,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFD8A,2604
146,FF0302,FF,0174C4,0442,0353,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFD8A,2618
147,FF0302,FF,0009C4,0201,036C,00,FF,00,20,36,0F,20,01,00,00,00,00000201,00000001,000000B0,000003CE,00FF0200,00FF0007,00000000,00FFFDB2,2608
147,FF0301,00,0174BC,0442,036F,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDAA,2604
147,FF0302,FF,0174C4,0442,036F,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDAA,2618
148,FF0302,FF,0009C4,0201,0387,00,FF,00,20,36,0F,20,01,00,00,00,00000201,00000026,00000000,000012DA,00FFC000,00FF0007,00000000,00FFFD92,2608
148,FF0301,00,0174BC,0442,038A,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFD8A,2604
148,FF0302,FF,0174C4,0442,038A,00,FF,00,20,36,0F,20,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFD8A,2618
149,FF0302,FF,0009C4,0201,03A5,00,FF,00,20,36,0F,7C,01,00,00,00,00000201,00000004,000000C6,0000283A,00FF0200,00FF0007,00000000,00FFFDBA,2608
149,FF0301,00,0174BC,0442,03A8,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2604
149,FF0302,FF,0174C4,0442,03A8,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2618
150,FF0302,FF,0009C4,0201,03BE,00,FF,00,20,36,0F,7C,01,00,00,00,00000201,00000003,000000FE,000003CB,00FFC000,00FF0007,00000000,00FFFD96,2608
150,FF0301,00,0174BC,0442,03C1,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFD8E,2604
150,FF0302,FF,0174C4,0442,03C1,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFD8E,2618
151,FF0302,FF,0009C4,0201,03DA,00,FF,00,20,36,0F,7C,01,00,00,00,00000201,00000003,00000033,000003CE,00FF0200,00FF0007,00000000,00FFFD96,2608
151,FF0301,00,0174BC,0442,03DD,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFD8E,2604
151,FF0302,FF,0174C4,0442,03DD,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFD8E,2618
152,FF0302,FF,0009C4,0201,03F3,00,FF,00,20,36,0F,7C,01,00,00,00,00000201,00000002,00000067,000003CF,00FFC000,00FF0007,00000000,00FFFD96,2608
152,FF0301,00,0174BC,0442,03F6,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFD8E,2604
152,FF0302,FF,0174C4,0442,03F6,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFD8E,2618
153,FF0302,FF,0009C4,0201,040F,00,FF,00,20,36,0F,7C,01,00,00,00,00000201,00000001,0000009C,000003CE,00FF0200,00FF0007,00000000,00FFFD96,2608
153,FF0301,00,0174BC,0442,0412,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFD8E,2604
153,FF0302,FF,0174C4,0442,0412,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFD8E,2618
154,FF0302,FF,0009C4,0201,042A,00,FF,00,20,36,0F,7C,01,00,00,00,00000201,00000012,00000000,000012EE,00FF0200,00FF0007,00000000,00FFFDB2,2608
154,FF0301,00,0174BC,0442,042D,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDAA,2604
154,FF0302,FF,0174C4,0442,042D,00,FF,00,20,36,0F,7C,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDAA,2618
155,FF0302,FF,0009C4,0201,0446,00,FF,00,20,36,0F,00,01,00,00,00,00000201,00000003,00000000,00000374,00FF0200,00FF0007,00000000,00FFFDBE,2608
155,FF0301,00,0174BC,0442,0449,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2604
155,FF0302,FF,0174C4,0442,0449,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2618
156,FF0302,FF,0009C4,0201,045F,00,FF,00,20,36,0F,00,01,00,00,00,00000201,00000003,00000000,00000374,00FF0200,00FF0007,00000000,00FFFDBE,2608
156,FF0301,00,0174BC,0442,0462,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2604
156,FF0302,FF,0174C4,0442,0462,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2618
157,FF0302,FF,0009C4,0201,047B,00,FF,00,20,36,0F,00,01,00,00,00,00000201,00000003,00000000,00000374,00FF0200,00FF0007,00000000,00FFFDBE,2608
157,FF0301,00,0174BC,0442,047E,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2604
157,FF0302,FF,0174C4,0442,047E,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2618
158,FF0302,FF,0009C4,0201,0494,00,FF,00,20,36,0F,00,01,00,00,00,00000201,00000003,00000000,00000374,00FF0200,00FF0007,00000000,00FFFDBE,2608
158,FF0301,00,0174BC,0442,0497,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2604
158,FF0302,FF,0174C4,0442,0497,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2618
159,FF0302,FF,0009C4,0201,04B0,00,FF,00,20,36,0F,00,01,00,00,00,00000201,00000003,00000000,00000374,00FF0200,00FF0007,00000000,00FFFDBE,2608
159,FF0301,00,0174BC,0442,04B3,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2604
159,FF0302,FF,0174C4,0442,04B3,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2618
160,FF0302,FF,0009C4,0201,04C9,00,FF,00,20,36,0F,00,01,00,00,00,00000201,00000003,00000000,00000374,00FF0200,00FF0007,00000000,00FFFDBE,2608
160,FF0301,00,0174BC,0442,04CC,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2604
160,FF0302,FF,0174C4,0442,04CC,00,FF,00,20,36,0F,00,01,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB6,2618
